scores,videos,usertimes,systemtimes,userid,sanityscore
5,1.mp4,97412,17020,A26ZENZ5G8AEGM,2
1,2.mp4,23742,13272,A26ZENZ5G8AEGM,5
5,3.mp4,12752,6868,A26ZENZ5G8AEGM,2
4,4.mp4,16831,17229,A26ZENZ5G8AEGM,4
4,5.mp4,14301,7243,A26ZENZ5G8AEGM,4
4,6.mp4,17326,8079,A26ZENZ5G8AEGM,4
3,7.mp4,18862,37239,A26ZENZ5G8AEGM,4
5,1.mp4,56715,5786,A18LFH7XW61JO9,2
1,2.mp4,34391,6478,A18LFH7XW61JO9,5
4,3.mp4,14768,7530,A18LFH7XW61JO9,4
4,4.mp4,14386,12207,A18LFH7XW61JO9,3
3,5.mp4,14603,6616,A18LFH7XW61JO9,5
3,6.mp4,27394,6722,A18LFH7XW61JO9,5
3,7.mp4,21450,6110,A18LFH7XW61JO9,4
5,1.mp4,77161,12449,A3CAF7LTD3ORSG,2
1,2.mp4,21897,13106,A3CAF7LTD3ORSG,4
5,3.mp4,12145,17396,A3CAF7LTD3ORSG,2
2,4.mp4,13224,19794,A3CAF7LTD3ORSG,5
1,5.mp4,13645,10163,A3CAF7LTD3ORSG,5
2,6.mp4,14592,4619,A3CAF7LTD3ORSG,5
2,7.mp4,16806,13163,A3CAF7LTD3ORSG,5
5,1.mp4,94455,9196,A2J237J8KM3OCS,2
1,2.mp4,23826,9974,A2J237J8KM3OCS,5
3,3.mp4,14349,10079,A2J237J8KM3OCS,3
2,4.mp4,19520,12506,A2J237J8KM3OCS,5
2,5.mp4,18191,16653,A2J237J8KM3OCS,5
2,6.mp4,16500,16768,A2J237J8KM3OCS,3
1,7.mp4,17912,13375,A2J237J8KM3OCS,3
5,1.mp4,76303,5140,A29ZTHY1OB4IC8,2
1,2.mp4,23520,4964,A29ZTHY1OB4IC8,5
5,3.mp4,13656,6951,A29ZTHY1OB4IC8,2
3,4.mp4,14569,11353,A29ZTHY1OB4IC8,3
3,5.mp4,14749,6275,A29ZTHY1OB4IC8,3
3,6.mp4,15505,4386,A29ZTHY1OB4IC8,3
2,7.mp4,18597,7265,A29ZTHY1OB4IC8,3
5,1.mp4,65349,7439,A1XO6ONCCTBMKW,2
1,2.mp4,24638,6598,A1XO6ONCCTBMKW,5
5,3.mp4,12351,5036,A1XO6ONCCTBMKW,2
4,4.mp4,14361,7163,A1XO6ONCCTBMKW,2
2,5.mp4,14922,4241,A1XO6ONCCTBMKW,5
2,6.mp4,15206,5520,A1XO6ONCCTBMKW,5
1,7.mp4,16069,6400,A1XO6ONCCTBMKW,5
5,1.mp4,78372,29521,A28Q19NTTP0UIQ,4
1,2.mp4,18802,13278,A28Q19NTTP0UIQ,3
2,3.mp4,10493,4304,A28Q19NTTP0UIQ,5
4,4.mp4,12283,17157,A28Q19NTTP0UIQ,4
2,5.mp4,12930,6563,A28Q19NTTP0UIQ,5
1,6.mp4,13080,17426,A28Q19NTTP0UIQ,5
1,7.mp4,14473,5331,A28Q19NTTP0UIQ,5
5,1.mp4,90788,21512,AFDC9A6Z60W2Z,2
1,2.mp4,20690,25974,AFDC9A6Z60W2Z,5
4,3.mp4,11566,6430,AFDC9A6Z60W2Z,5
3,4.mp4,12698,12866,AFDC9A6Z60W2Z,5
2,5.mp4,13488,22704,AFDC9A6Z60W2Z,5
2,6.mp4,14587,5093,AFDC9A6Z60W2Z,5
1,7.mp4,15184,7186,AFDC9A6Z60W2Z,5
5,1.mp4,47051,4056,A183WYXN12P2TJ,2
1,2.mp4,19662,3638,A183WYXN12P2TJ,5
3,3.mp4,9978,2766,A183WYXN12P2TJ,4
2,4.mp4,10983,2547,A183WYXN12P2TJ,3
2,5.mp4,13600,7911,A183WYXN12P2TJ,3
1,6.mp4,13099,2350,A183WYXN12P2TJ,5
1,7.mp4,13962,2428,A183WYXN12P2TJ,5
5,1.mp4,255957,31279,A314XJY8V1YL12,2
1,2.mp4,23990,20265,A314XJY8V1YL12,5
3,3.mp4,15754,11261,A314XJY8V1YL12,5
2,4.mp4,14141,19863,A314XJY8V1YL12,5
4,5.mp4,16283,11353,A314XJY8V1YL12,5
1,6.mp4,18993,7427,A314XJY8V1YL12,5
1,7.mp4,17553,6907,A314XJY8V1YL12,5
5,1.mp4,106286,33999,ANK8K5WTHJ61C,2
1,2.mp4,41356,34506,ANK8K5WTHJ61C,5
4,3.mp4,11347,4230,ANK8K5WTHJ61C,5
4,4.mp4,13015,7548,ANK8K5WTHJ61C,5
2,5.mp4,13570,17663,ANK8K5WTHJ61C,5
3,6.mp4,14463,4990,ANK8K5WTHJ61C,5
2,7.mp4,17387,22797,ANK8K5WTHJ61C,5
5,1.mp4,146155,65614,A10TYO0H3GLCH6,2
1,2.mp4,52160,66664,A10TYO0H3GLCH6,5
4,3.mp4,14804,27367,A10TYO0H3GLCH6,3
2,4.mp4,16027,43225,A10TYO0H3GLCH6,3
1,5.mp4,17039,29162,A10TYO0H3GLCH6,5
2,6.mp4,16880,42673,A10TYO0H3GLCH6,3
1,7.mp4,23877,68145,A10TYO0H3GLCH6,5
5,1.mp4,438907,3653,AKSJ3C5O3V9RB,2
1,2.mp4,129988,3177,AKSJ3C5O3V9RB,5
5,3.mp4,15258,140070,AKSJ3C5O3V9RB,2
4,4.mp4,12251,15792,AKSJ3C5O3V9RB,5
4,5.mp4,14279,27445,AKSJ3C5O3V9RB,3
3,6.mp4,14014,942876,AKSJ3C5O3V9RB,5
3,7.mp4,18058,93822,AKSJ3C5O3V9RB,5
5,1.mp4,156481,37987,AORHXBTOCXFUK,2
1,2.mp4,25448,19424,AORHXBTOCXFUK,5
4,3.mp4,18496,10072,AORHXBTOCXFUK,2
4,4.mp4,16834,16028,AORHXBTOCXFUK,2
3,5.mp4,20784,28318,AORHXBTOCXFUK,3
4,6.mp4,19038,11157,AORHXBTOCXFUK,2
4,7.mp4,19771,11697,AORHXBTOCXFUK,3
5,1.mp4,92057,10673,A3OZ8KF0HWSVWK,2
1,2.mp4,23500,23286,A3OZ8KF0HWSVWK,3
3,3.mp4,14390,10165,A3OZ8KF0HWSVWK,3
2,4.mp4,20438,6653,A3OZ8KF0HWSVWK,3
1,5.mp4,17489,7124,A3OZ8KF0HWSVWK,3
1,6.mp4,19349,12188,A3OZ8KF0HWSVWK,3
1,7.mp4,18855,19681,A3OZ8KF0HWSVWK,3
5,1.mp4,104886,15942,A16X5FB3HAFCKN,2
1,2.mp4,24704,20709,A16X5FB3HAFCKN,2
5,3.mp4,40697,11661,A16X5FB3HAFCKN,2
1,4.mp4,17065,8077,A16X5FB3HAFCKN,2
1,5.mp4,31150,9376,A16X5FB3HAFCKN,2
5,6.mp4,18400,14135,A16X5FB3HAFCKN,2
5,7.mp4,18133,7985,A16X5FB3HAFCKN,2
5,1.mp4,148283,19721,A1DVKS3R9SLQ1H,2
1,2.mp4,26211,11138,A1DVKS3R9SLQ1H,3
1,3.mp4,18739,30597,A1DVKS3R9SLQ1H,3
1,4.mp4,17020,23414,A1DVKS3R9SLQ1H,3
1,5.mp4,16599,7862,A1DVKS3R9SLQ1H,3
1,6.mp4,17467,6874,A1DVKS3R9SLQ1H,3
1,7.mp4,17665,11361,A1DVKS3R9SLQ1H,3
5,1.mp4,155128,23596,A1XAOEDK0Y2KBT,2
1,2.mp4,24257,10412,A1XAOEDK0Y2KBT,5
3,3.mp4,13251,5207,A1XAOEDK0Y2KBT,4
3,4.mp4,113278,4363,A1XAOEDK0Y2KBT,4
2,5.mp4,25304,4396,A1XAOEDK0Y2KBT,4
2,6.mp4,16333,11324,A1XAOEDK0Y2KBT,5
4,7.mp4,24237,202976,A1XAOEDK0Y2KBT,3
5,1.mp4,53949,17544,A33VGSEJ44ORMF,2
1,2.mp4,65072,12337,A33VGSEJ44ORMF,5
4,3.mp4,13122,6145,A33VGSEJ44ORMF,4
4,4.mp4,14780,7419,A33VGSEJ44ORMF,4
4,5.mp4,15024,13492,A33VGSEJ44ORMF,5
2,6.mp4,16100,7116,A33VGSEJ44ORMF,5
3,7.mp4,22059,21074,A33VGSEJ44ORMF,3
5,1.mp4,69522,20893,AA9V4NE8SOA4I,2
1,2.mp4,21160,27916,AA9V4NE8SOA4I,2
4,3.mp4,10419,5516,AA9V4NE8SOA4I,3
4,4.mp4,11479,13357,AA9V4NE8SOA4I,3
3,5.mp4,12256,32539,AA9V4NE8SOA4I,3
3,6.mp4,15675,7232,AA9V4NE8SOA4I,5
3,7.mp4,14959,8006,AA9V4NE8SOA4I,5
5,1.mp4,150983,6734,ASWZO1WY1UHEP,2
1,2.mp4,21635,7062,ASWZO1WY1UHEP,5
2,3.mp4,15267,44275,ASWZO1WY1UHEP,5
2,4.mp4,18372,10257,ASWZO1WY1UHEP,5
2,5.mp4,16009,5884,ASWZO1WY1UHEP,5
2,6.mp4,18240,5528,ASWZO1WY1UHEP,5
1,7.mp4,18074,8253,ASWZO1WY1UHEP,5
5,1.mp4,40474,5363,A2QD9PJUKW7PKK,2
1,2.mp4,22136,5026,A2QD9PJUKW7PKK,5
4,3.mp4,13805,11504,A2QD9PJUKW7PKK,3
3,4.mp4,13461,4093,A2QD9PJUKW7PKK,5
3,5.mp4,14224,3653,A2QD9PJUKW7PKK,5
2,6.mp4,15951,8987,A2QD9PJUKW7PKK,5
3,7.mp4,16627,5055,A2QD9PJUKW7PKK,5
5,1.mp4,122429,19630,A2UF2FRGVW4T89,2
1,2.mp4,24782,30412,A2UF2FRGVW4T89,3
4,3.mp4,15119,37532,A2UF2FRGVW4T89,4
4,4.mp4,15982,7456,A2UF2FRGVW4T89,4
3,5.mp4,15666,26133,A2UF2FRGVW4T89,5
3,6.mp4,20388,81566,A2UF2FRGVW4T89,4
